compound_id,historical_alias,profiles_evaluated,top3_profile_count,top5_profile_count,best_rank,worst_rank,mean_profile_rank,interpretation
ATP-HTVS-0009DAEDE04F,79971,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-08590B5C6743,87873,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-086F5E4227DC,20162,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-08A6E1F87809,61538,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-093491EAEBEC,53250,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-09A5DA8CBD66,30690,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-09A833AE3D1D,90339,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-09F9B4EC4E97,20514,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0A1AFDA96BE3,90754,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0A1D74055304,29089,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0A30D9D79A37,89123,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0A53D5277C22,24418,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0A81E0DFACE9,19938,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0A8B3D0EFFB7,1954,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0A8D2667A5C6,69794,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0AAFA8CB92ED,43169,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0AE85D2EF5B8,94338,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0B0619B736F3,87937,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0B15CB8240E3,99809,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0B527D484045,76929,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0B76E6A2B6F2,90146,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0BEF59EEEAC9,79426,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0C1598B702AE,55106,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0C253F9D7643,68259,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0C40F7CB6A92,58402,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0C765FB89CD3,40065,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0C924C2A1F00,82563,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0CA591B42E29,85378,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0CB0406266F3,38243,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0CBFB91815ED,70274,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0CC0B448CED2,38179,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0CD00DCFE488,46273,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0CE67B896AED,99842,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0D57BDDB1211,69729,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0D83F5E9F976,52769,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0D8C52C362EE,73825,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0DE7571C9DAC,43267,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0E6472D072C2,1473,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0E76F39BB090,32387,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0E779CFB9E8D,92771,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0EB7A7111FDE,80385,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0F3A12BD04AB,91361,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0F469DA925F8,70337,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0F46F3379ABF,71235,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0F4AF3905209,96993,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0F6915EAEEA3,79267,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0F755B78CCFB,95490,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0F900EB338B9,82082,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0FD0361A2408,93698,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-0FDC7A3FF1CA,47107,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-103E90EA5971,80961,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-106685DD3ACA,70754,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-10900B51E20F,58209,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-109B405B023F,43907,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-10A4E2B2EADA,92833,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-11489B74AE1C,69539,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-115B93EFBC96,98209,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-11C14F34C5FE,35233,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-11CEFB3A39DF,61475,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-11E35EA06531,61505,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-125A7E13CFB1,85089,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-12CEF0BA8B10,31426,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-132672672DF9,95778,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-132BACAA4698,82561,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-134FC0CB3694,71041,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1356F7D69808,27907,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1373BD200FA0,72865,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1377A1139B97,96002,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-138C9DBD3419,68321,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-13A5AE9C2B6A,88258,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1402A7ED8177,450,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-143D46541936,71362,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1449F4F4BA71,89058,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-14724C615932,53281,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-14AE04B6952B,40129,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-14BA2D75CE49,449,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1551732D1515,43266,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-159795FE363C,92387,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-159959ECB567,70723,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-159CD8CCFA6D,50978,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-159F0F821AF9,96098,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-15A0030054C0,69441,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-15F2A5DBBD51,68225,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-15FA43506D9E,31298,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-16140744D8E5,56385,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-16316C23D1E4,71169,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-167535894C2D,33218,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-169071BECF96,81441,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-16A35D40F1B5,38337,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-16AC68300479,69859,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-16D62B7C6E45,82339,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-16D892EEAEA4,74883,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1714ADEB4D31,82945,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-17511F2B790B,26499,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1776C87C4427,90243,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-17940C77D749,73155,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-17A38785E483,22881,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-17C024B1EE7E,46369,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-17D20C07D7F4,84579,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-17FF806DFA04,81121,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-18044BD9974D,64643,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1817E5512E7A,88034,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-18265C9EB86B,7299,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-185EDA97C211,76994,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-18A7589C7FB7,94049,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-18AAC668D3EC,81058,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-18CFABF6753A,53793,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-18FDFF56F821,38785,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-190A8EA9B17C,31297,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1928ECDAF189,20003,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-193F5213E1F4,63266,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1940D4055FE9,82787,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1952D56C5A08,95489,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-196468D2BF96,87299,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-19D22C817A74,93507,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-19D9965850C9,38370,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-19DB56372FFA,71203,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-19E5DD3F936E,48931,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-19E7C62EA548,27651,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1A821EC4699A,87905,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1A8854DD1E1A,4003,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1AA1BAAE4A01,84386,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1ACF073F315C,44323,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1AEE198E3D8C,1538,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1B05407455E5,40642,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1B1248DF0721,71426,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1B366D2FDBBA,81123,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1B509C27CE75,60833,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1B60B6D0433D,66017,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1B84D304C2ED,89921,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1B9CB386F0F9,22755,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1C066C79A7D0,44515,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1C1B7F9BB8FF,77346,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1C463A9823EA,77731,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1C4EC58A3066,92899,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1C71F28794EF,86081,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1C9D0B7FE190,98594,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1CAAE7675504,51651,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1CF603621065,85794,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1D0FF5192E4C,80545,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1D1DA7871618,20226,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1D28793FB59B,57954,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1D3C11D6B0D4,95330,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1DC16EDC7F4D,32451,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1DC6D2F4A05D,67233,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1DD46A13AEBB,58369,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1E20B63FDE5F,82850,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1E475A4B97CE,20387,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1E5A6A308B25,86881,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1EBFDE0160CD,86882,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1F874564E13F,80035,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1F9A02273F27,69026,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1FAE7495FCDD,91266,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1FED3714464D,70306,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-1FF6C325CA7A,86530,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-203210320F32,88033,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-20B250E7AB9A,20673,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-20FB50B88593,58595,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2118F57CAFF1,72385,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2125555B1DA5,84706,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-217395D9F0A5,49825,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-217B57A40B61,22753,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-218E3E4A28A7,95618,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-21B7BD60A2C7,81347,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-21B7E8D8DA00,84930,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-21BB1C807E7E,36099,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-21D2D8C367A1,93506,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-22634BBBCB97,66019,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2275AB855C30,82946,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-22C0C64F65E9,35330,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-22E2482E2999,48354,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-22E536A2C0FA,57601,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-22FAF80E23F8,94401,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-23113A9B9381,33411,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2368A2FD4D76,87745,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-239E0EA8BC65,54689,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-23EBF8E8F6E9,86787,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-23EDEB47FF93,71874,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-23F526837945,92834,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-244A9AEB7273,5347,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-247B97B4CA47,61825,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2485F4B11063,64065,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-24E588DA0D03,95714,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2507C3370FB9,84259,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-255C97768CDB,63778,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-258E82C8B178,35362,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2598958FABEA,76961,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-25BEFE000F10,95682,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-26104959C4F1,79713,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2641D0EED03A,61889,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-267F6CCD1B36,79811,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2699169FE698,4866,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-269AF530E7D7,62595,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-27050A3A08BE,12355,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-27135ACF267B,59107,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-27537703FBA2,53635,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-277F9700EDE9,62211,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-27B53DA4C14D,50115,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-27BC230C206A,95937,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-27E43B44E6A8,92067,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-27FE3E1C2A9E,72194,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2801EC41FD47,97569,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2818D10B14C2,35009,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-286379397336,30625,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-28D90B8D287A,81475,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-28F6129F8E3C,70305,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2912F4F66BA1,81186,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-291AE177F52E,43107,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2A14F6A33EFE,2018,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2A420AE0278C,57730,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2A473A7CBE48,82306,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2A6980A94AB8,12579,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2A91244EC1AD,33347,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2AC4031F681F,85858,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2AD5F3716208,34434,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2AFCB32282C0,34529,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2B2381835080,40034,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2B54247B4108,84161,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2B683AA1DF30,89507,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2B725536FCE2,99329,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
ATP-HTVS-2B784D1D7344,72482,4,0,0,,,,cross-profile decision consistency; not experimental hit frequency
