compound_key,canonical_smiles,inchi_key,molecular_formula,molecular_weight,structure_source,structure_verification,identity_verified,first_seen_compound_id
CEAZRRDELHUEMR-UHFFFAOYSA-N,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,CEAZRRDELHUEMR-UHFFFAOYSA-N,C21H43N5O7,477.603,input_canonicalized,parsed_but_not_independently_identity_verified,False,CTRL-GENTAMICIN
CJWSCOKTAUPKHM-UHFFFAOYSA-N,CCN1CCC(CNCCc2cc3ccccc3nc2SCc2ccccc2)CC1,CJWSCOKTAUPKHM-UHFFFAOYSA-N,C26H33N3S,419.638,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA236
CKJASZDKIIXJGB-UHFFFAOYSA-N,C1=CC=C2CSC2=Nc2ccccc2C=C2CCNCC(CCC=C1)CCN2C1CCCC1,CKJASZDKIIXJGB-UHFFFAOYSA-N,C29H37N3S,459.703,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA238
CXMRFZUNEWGZOD-UHFFFAOYSA-N,CCN1CCC(CCNCc2cc(-c3ccc(F)cc3)cnc2SCc2ccccc2)CC1,CXMRFZUNEWGZOD-UHFFFAOYSA-N,C28H34FN3S,463.666,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA307
CYFLBGUKERCHRN-UHFFFAOYSA-N,Fc1ccc(C2=CN=C3SCC3=CC=CC=CCCC3CCNCC(=C2)N(C2CCCC2)CC3)cc1,CYFLBGUKERCHRN-UHFFFAOYSA-N,C31H38FN3S,503.731,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA291
DCLANSSFVIGXHQ-OAQYLSRUSA-N,COC(=O)[C@@H](Cc1c[nH]c2ccccc12)NCc1cc2ccccc2nc1OC,DCLANSSFVIGXHQ-OAQYLSRUSA-N,C23H23N3O3,389.455,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,STEED2022-18
DENDYSZGMCHDRC-UHFFFAOYSA-N,CN1CCN(CCNCc2cccnc2SCc2ccccc2)CC1,DENDYSZGMCHDRC-UHFFFAOYSA-N,C20H28N4S,356.539,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA268
DHHYTMBBZNETGO-UQKRIMTDSA-M,C[C@@H](C(=O)[O-])n1cc(C2CC2)c(Cc2cccc3ccccc23)cc1=O.[Li+],DHHYTMBBZNETGO-UQKRIMTDSA-M,C22H20LiNO3,353.347,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL402410
DHQKBEDPXLHXAJ-OAQYLSRUSA-N,COC(=O)[C@@H](Cc1c[nH]c2ccccc12)NCc1cc2ccccc2nc1SC,DHQKBEDPXLHXAJ-OAQYLSRUSA-N,C23H23N3O2S,405.523,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,STEED2022-19
DVUDEYVEBQKKMF-UHFFFAOYSA-N,CSc1nc2ccccc2cc1CNCc1ccc(CN(C)C)cc1,DVUDEYVEBQKKMF-UHFFFAOYSA-N,C21H25N3S,351.519,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-1
DZMUNSHMBCIBDH-UHFFFAOYSA-N,C=CCOc1nc2ccccc2cc1C(c1cc2ccccc2nc1OCC=C)C(O)(CCN(C)C)c1ccccc1,DZMUNSHMBCIBDH-UHFFFAOYSA-N,C36H37N3O3,559.71,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3754648
FBCXCXWDAGLEIR-UHFFFAOYSA-N,CCN(CC)Cc1cc(N(c2cc(C)nc3cc(Cl)ccc23)S(=O)(=O)c2cccc(Cl)c2Cl)ccc1O,FBCXCXWDAGLEIR-UHFFFAOYSA-N,C27H26Cl3N3O3S,578.949,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3402630
FIVPERXQZKOXRV-UHFFFAOYSA-N,Brc1ccc2cc(CNCc3ccc(CN4CCCC4)cc3)c(SCc3ccccc3)nc2c1,FIVPERXQZKOXRV-UHFFFAOYSA-N,C29H30BrN3S,532.551,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA256
FJDYUBLMOSKXMT-SFHVURJKSA-N,NC(=O)[C@@H]1CSc2c(C3CC3)c(Cc3cccc4ccccc34)cc(=O)n21,FJDYUBLMOSKXMT-SFHVURJKSA-N,C22H20N2O2S,376.481,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL402627
FMUGFYQFZOPACO-UHFFFAOYSA-N,BrC1=CN=C2SCC2=CC=CC=CCCC2CCNCC(=C1)N(C1CCCC1)CC2,FMUGFYQFZOPACO-UHFFFAOYSA-N,C25H34BrN3S,488.539,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA301
FPTVNOKSIHPUTA-UHFFFAOYSA-N,c1ccc(CSc2ncc(-c3ccccc3)cc2CNCc2ccc(CN3CCCC3)cc2)cc1,FPTVNOKSIHPUTA-UHFFFAOYSA-N,C31H33N3S,479.693,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA294
FSIFTUHBPHJAAD-UHFFFAOYSA-N,COc1nc2ccccc2cc1C(c1cc2ccccc2nc1OC)C(O)(CCN(C)C)c1cccc2ccccc12,FSIFTUHBPHJAAD-UHFFFAOYSA-N,C36H35N3O3,557.694,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3754673
GALJNXWUVQUDRC-UHFFFAOYSA-N,CN(C)CCCCCNCc1cc2ccccc2nc1SCc1ccccc1,GALJNXWUVQUDRC-UHFFFAOYSA-N,C24H31N3S,393.6,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-10
GDIKNPZGPCUHQP-UHFFFAOYSA-N,Brc1ccc2c(c1)N=C1SCC1=CC=CC=CCCC1CCN(C3CCCC3)C(=C2)CCNC1,GDIKNPZGPCUHQP-UHFFFAOYSA-N,C29H36BrN3S,538.599,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA255
GHGVFXRKINKBLR-ARJAWSKDSA-N,CN(C)CCC(O)(c1cccc(Br)c1)C1c2cc3ccccc3nc2OCC/C=C\CCOc2nc3ccccc3cc21,GHGVFXRKINKBLR-ARJAWSKDSA-N,C36H36BrN3O3,638.606,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3753969
GIVNEPBVLZKFQD-UHFFFAOYSA-N,c1ccc(CSc2ncccc2CNCc2ccc(CN3CCCC3)cc2)cc1,GIVNEPBVLZKFQD-UHFFFAOYSA-N,C25H29N3S,403.595,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA267
GLDUIBJCIYJHOM-UHFFFAOYSA-N,CCN(CC)Cc1cc(N(c2cc(C)nc3cc(Cl)ccc23)S(=O)(=O)c2ccc(Cl)s2)ccc1O,GLDUIBJCIYJHOM-UHFFFAOYSA-N,C25H25Cl2N3O3S2,550.533,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3400982
GXYVJEJKTGYEDL-UHFFFAOYSA-N,COc1ccc(-c2cnc(SCc3ccccc3)c(CNCc3ccc(CN4CCCC4)cc3)c2)cc1F,GXYVJEJKTGYEDL-UHFFFAOYSA-N,C32H34FN3OS,527.709,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA297
HCBCVTVDQQQYPH-UHFFFAOYSA-N,COc1ccc(-c2cnc(SCc3ccccc3)c(CNCc3ccc(CN4CCCC4)cc3)c2)cc1,HCBCVTVDQQQYPH-UHFFFAOYSA-N,C32H35N3OS,509.719,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA296
HSQAOIDXEYDHQE-UHFFFAOYSA-N,c1ccc(CSc2nc3cc(-c4ccccc4)ccc3cc2CNCc2ccc(CN3CCCC3)cc2)cc1,HSQAOIDXEYDHQE-UHFFFAOYSA-N,C35H35N3S,529.753,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA269
HXWNUGNSPIOUKJ-HNNXBMFYSA-N,COC(=O)[C@H](CCSC)NCc1cc2ccccc2nc1SC,HXWNUGNSPIOUKJ-HNNXBMFYSA-N,C17H22N2O2S2,350.509,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,STEED2022-17
IIRFHYMEOYQCBC-UHFFFAOYSA-N,CSc1nc2ccccc2cc1CNCc1ccc(N(C)C)cc1,IIRFHYMEOYQCBC-UHFFFAOYSA-N,C20H23N3S,337.492,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-11
ILFUWRVDQBBTFO-UHFFFAOYSA-N,CCN1CCC(CNCCc2cc3ccc(-c4ccccc4)cc3nc2SCc2ccccc2)CC1,ILFUWRVDQBBTFO-UHFFFAOYSA-N,C32H37N3S,495.736,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA261
IXLSBDXBCUSOJH-UHFFFAOYSA-N,COc1nc2ccccc2cc1C(c1cc2ccccc2nc1OC)C(O)(CCN(C)C)c1ccc2ccccc2c1,IXLSBDXBCUSOJH-UHFFFAOYSA-N,C36H35N3O3,557.694,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3753028
IZWVLJVCXHHUOO-UHFFFAOYSA-N,Fc1ccc(-c2cnc(SCc3ccccc3)c(CNCc3ccc(CN4CCCC4)cc3)c2)cc1,IZWVLJVCXHHUOO-UHFFFAOYSA-N,C31H32FN3S,497.683,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA298
JEEVMYLVUPBCFP-UHFFFAOYSA-N,COc1nc2ccccc2cc1C(c1cc2ccccc2nc1OC)C(O)(CCN(C)C)c1cccc(Br)c1,JEEVMYLVUPBCFP-UHFFFAOYSA-N,C32H32BrN3O3,586.53,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3751877
JEOOPXHDCFWFFO-UHFFFAOYSA-N,CCN1CCC(CCNCc2cccnc2SCc2ccccc2)CC1,JEOOPXHDCFWFFO-UHFFFAOYSA-N,C22H31N3S,369.578,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA264
JHBGNEYJXHSZKP-UHFFFAOYSA-N,CC1=NC(C)=NC=C2C=CC=C(C=C1)CSc1nc3ccccc3cc1CNCC2,JHBGNEYJXHSZKP-UHFFFAOYSA-N,C25H26N4S,414.578,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-20
JOQXHNZJPVGSQL-FERBBOLQSA-M,O=C([O-])[C@@H]1CSc2c(C3CC3)c(Cc3cccc4ccccc34)cc(=O)n21.[Li+],JOQXHNZJPVGSQL-FERBBOLQSA-M,C22H18LiNO3S,383.398,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL261105
JWHCVPMRQDOIHA-UHFFFAOYSA-N,COc1ccc(-c2cnc(SCc3ccccc3)c(CNCCN3CCN(C)CC3)c2)cc1,JWHCVPMRQDOIHA-UHFFFAOYSA-N,C27H34N4OS,462.663,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA278
KBBWUTKWDFCECI-UHFFFAOYSA-N,c1ccc(CSc2nc3ccccc3cc2CNCc2ccc(N3CCCCC3)cc2)cc1,KBBWUTKWDFCECI-UHFFFAOYSA-N,C29H31N3S,453.655,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA248
KITXXXWYRGIPNW-UHFFFAOYSA-N,C1=CC=C2CSC2=NC=CC=C2CNCCC(CCC=C1)CCN2C1CCCC1,KITXXXWYRGIPNW-UHFFFAOYSA-N,C25H35N3S,409.643,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA265
KNMXVWXMVVIKDE-UHFFFAOYSA-N,C=CCCOc1nc2ccccc2cc1C(c1cc2ccccc2nc1OCCC=C)C(O)(CCN(C)C)c1ccc(Br)cc1,KNMXVWXMVVIKDE-UHFFFAOYSA-N,C38H40BrN3O3,666.66,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3751865
KWYNWDLARNYFPR-UHFFFAOYSA-N,CN1CCN(CCNCc2cc(-c3ccccc3)cnc2SCc2ccccc2)CC1,KWYNWDLARNYFPR-UHFFFAOYSA-N,C26H32N4S,432.637,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA277
LAFSNTSKJXQUGQ-UHFFFAOYSA-N,COc1ccc(C2=CN=C3SCC3=CC=CC=CCCC3CCNCC(=C2)N(C2CCCC2)CC3)cc1F,LAFSNTSKJXQUGQ-UHFFFAOYSA-N,C32H40FN3OS,533.757,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA290
LKLACXNGVWXYAW-UHFFFAOYSA-N,CN(C)CCCNCc1cc2ccccc2nc1SCc1ccccc1,LKLACXNGVWXYAW-UHFFFAOYSA-N,C22H27N3S,365.546,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-6
LLKLWYWYWKDHMZ-UHFFFAOYSA-N,CN(C)CC1=CC=C2C=CC=C(C=CC=C1)CSc1nc3ccccc3cc1CNC2,LLKLWYWYWKDHMZ-UHFFFAOYSA-N,C27H29N3S,427.617,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-2
MISXPGZSFAATQD-UHFFFAOYSA-N,CSc1nc2ccccc2cc1CNCCC1CCN(C2CCCC2)CC1,MISXPGZSFAATQD-UHFFFAOYSA-N,C23H33N3S,383.605,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-15
MNULEGDCPYONBU-AWJDAWNUSA-N,CC[C@H]1/C=C/C=C/C[C@@H](C)[C@H](O)[C@@](C)(O)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)/C=C/C(=O)O[C@@H]2[C@H](C)[C@H](CC1)O[C@]1(CC[C@H](C)[C@H](C[C@@H](C)O)O1)[C@H]2C,MNULEGDCPYONBU-AWJDAWNUSA-N,C45H74O11,791.076,input_canonicalized,parsed_but_not_independently_identity_verified,False,CTRL-OLIGOMYCIN-A
NCHOSMRPPKEPLR-UHFFFAOYSA-N,COc1cc2nc(SCc3ccccc3)c(CNCCN3CCN(C)CC3)cc2c(OC)c1OC,NCHOSMRPPKEPLR-UHFFFAOYSA-N,C27H36N4O3S,496.677,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA253
NGGZHFTWSXZZMZ-UHFFFAOYSA-N,CCN(CC)Cc1cc(N(c2cc(C)nc3cc(Cl)ccc23)S(=O)(=O)c2ccc(Cl)cc2Cl)ccc1O,NGGZHFTWSXZZMZ-UHFFFAOYSA-N,C27H26Cl3N3O3S,578.949,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3402631
NHYRGJGOYHRCHP-UHFFFAOYSA-N,CN1CCN(CCNCc2cc3ccc(-c4ccccc4)cc3nc2SCc2ccccc2)CC1,NHYRGJGOYHRCHP-UHFFFAOYSA-N,C30H34N4S,482.697,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA270
NLEMREXXYUDSQL-UHFFFAOYSA-N,COc1cc2c(c(OC)c1OC)C=C1CCNCC(CCC=CC=CC=C3CSC3=N2)CCN1C1CCCC1,NLEMREXXYUDSQL-UHFFFAOYSA-N,C32H43N3O3S,549.781,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA252
NLTZNXHLSWPGMA-UHFFFAOYSA-N,CN1CCN(CCNCc2cc3ccc(Br)cc3nc2SCc2ccccc2)CC1,NLTZNXHLSWPGMA-UHFFFAOYSA-N,C24H29BrN4S,485.495,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA257
NNVGKKBOEWDJJP-IBGZPJMESA-N,CS(=O)(=O)NC(=O)[C@@H]1CSc2c(C3CC3)c(Cc3cccc4ccccc34)cc(=O)n21,NNVGKKBOEWDJJP-IBGZPJMESA-N,C23H22N2O4S2,454.573,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL401701
NPEZRWZPEIGWDT-UHFFFAOYSA-N,Cc1ccc(C2=CN=C3SCC3=CC=CC=CCCC3CCNCC(=C2)N(C2CCCC2)CC3)cc1,NPEZRWZPEIGWDT-UHFFFAOYSA-N,C32H41N3S,499.768,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA289
OCURKCGQDZTRPV-UHFFFAOYSA-N,CCN(CC)Cc1cc(N(c2cc(C)nc3cc(Cl)ccc23)S(=O)(=O)c2ccc([N+](=O)[O-])cc2)ccc1O,OCURKCGQDZTRPV-UHFFFAOYSA-N,C27H27ClN4O5S,555.056,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3402629
OERRFXQQEGZCLT-UHFFFAOYSA-N,CCN1CCC(CCNCc2cc(-c3ccc(OC)cc3)cnc2SCc2ccccc2)CC1,OERRFXQQEGZCLT-UHFFFAOYSA-N,C29H37N3OS,475.702,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA305
OQBHGUMTARFMHR-UHFFFAOYSA-N,CN1C=CC=C2C=CC=C(C=C1)CSc1nc3ccccc3cc1CNCC2,OQBHGUMTARFMHR-UHFFFAOYSA-N,C24H25N3S,387.552,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-18
OQFGGMRRCQCVER-UHFFFAOYSA-N,Fc1ccc(C2=CN=C3SCC3=CC=CC=CCCC3CCNCC(=C2)N(C2CCCC2)CC3)c(F)c1,OQFGGMRRCQCVER-UHFFFAOYSA-N,C31H37F2N3S,521.721,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA292
ORLAXBFWLNNFRF-UHFFFAOYSA-N,C1=CC=C2CSC2=Nc2cc(-c3ccccc3)ccc2C=C2CCNCC(CCC=C1)CCN2C1CCCC1,ORLAXBFWLNNFRF-UHFFFAOYSA-N,C35H41N3S,535.801,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA262
OSIDADUWAHRIJO-UHFFFAOYSA-N,CCN(CC)Cc1cc(N(c2cc(C)nc3cc(Cl)ccc23)S(=O)(=O)c2cc(C)cc(C)c2)ccc1O,OSIDADUWAHRIJO-UHFFFAOYSA-N,C29H32ClN3O3S,538.113,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3402635
OUUCQDAKDZWOHC-UHFFFAOYSA-N,CSc1nc2ccccc2cc1CNCCCCCN(C)C,OUUCQDAKDZWOHC-UHFFFAOYSA-N,C18H27N3S,317.502,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-9
PKYJBDDPIQOPNP-UHFFFAOYSA-N,CCN1CCC(CCNCc2cc(Br)cnc2SCc2ccccc2)CC1,PKYJBDDPIQOPNP-UHFFFAOYSA-N,C22H30BrN3S,448.474,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA272
PPDXHFIWMLVDEJ-UHFFFAOYSA-N,O=c1c(NCc2ccccn2)c(-c2ccc(N3CCOCC3)cc2)c1=O,PPDXHFIWMLVDEJ-UHFFFAOYSA-N,C20H19N3O3,349.39,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL4101131
PXXYITLVUSHXPN-UHFFFAOYSA-N,CSc1nc2ccccc2cc1CNCCc1cnc(C)nc1C,PXXYITLVUSHXPN-UHFFFAOYSA-N,C19H22N4S,338.48,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-19
QDRJSIIKIUXVRU-UHFFFAOYSA-N,COc1nc2ccccc2cc1C(c1cc2ccccc2nc1OC)C(O)(CCN(C)C)c1ccc(Br)cc1,QDRJSIIKIUXVRU-UHFFFAOYSA-N,C32H32BrN3O3,586.53,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3754231
QOAKXIVNSVUYRQ-UHFFFAOYSA-N,COc1ccc(C2=CN=C3SCC3=CC=CC=CCCC3CCNCC(=C2)N(C2CCCC2)CC3)cc1,QOAKXIVNSVUYRQ-UHFFFAOYSA-N,C32H41N3OS,515.767,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA288
QOSSAOTZNIDXMA-UHFFFAOYSA-N,C(=NC1CCCCC1)=NC1CCCCC1,QOSSAOTZNIDXMA-UHFFFAOYSA-N,C13H22N2,206.333,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL162598
QUIJNHUBAXPXFS-XLJNKUFUSA-N,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,QUIJNHUBAXPXFS-XLJNKUFUSA-N,C32H31BrN2O2,555.516,input_canonicalized,parsed_but_not_independently_identity_verified,False,CTRL-BEDAQUILINE
QXQOBCBJOCQFRK-UHFFFAOYSA-N,COc1nc2ccccc2cc1C(c1cc2ccccc2nc1OC)C(O)(CCN(C)C)c1ccccc1,QXQOBCBJOCQFRK-UHFFFAOYSA-N,C32H33N3O3,507.634,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3752792
RIDDIWJTDCGXDH-NRFANRHFSA-N,COC(=O)[C@@H](NCc1cc2ccccc2nc1OCc1ccccc1)C(C)C,RIDDIWJTDCGXDH-NRFANRHFSA-N,C23H26N2O3,378.472,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,STEED2022-15
ROJPDORYZONAPF-UHFFFAOYSA-N,COc1nc2ccccc2cc1COC(=O)Nc1ccc(CO)cc1,ROJPDORYZONAPF-UHFFFAOYSA-N,C19H18N2O4,338.363,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,STEED2022-8
RWXRACFJDWXXDE-UHFFFAOYSA-N,CCN1CCC(CNCCc2cc3ccc(Br)cc3nc2SCc2ccccc2)CC1,RWXRACFJDWXXDE-UHFFFAOYSA-N,C26H32BrN3S,498.534,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA254
SGQDQCCZJOEXJH-UHFFFAOYSA-N,C1=CC2=NC=CNC=CC(=C1)CSc1nc3ccccc3cc1CNCC2,SGQDQCCZJOEXJH-UHFFFAOYSA-N,C22H22N4S,374.513,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-22
SQOBRXGLLMOCKF-UHFFFAOYSA-N,CC1(C)CC(=O)C(=CNc2ccccc2O)C(=O)C1,SQOBRXGLLMOCKF-UHFFFAOYSA-N,C15H17NO3,259.305,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL4294286
SSOJQSHUAQGPLD-UHFFFAOYSA-N,CN1CCN(CCNCc2cc3ccccc3nc2SCc2ccccc2)CC1,SSOJQSHUAQGPLD-UHFFFAOYSA-N,C24H30N4S,406.599,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA250
SVSBIDILOVJTHE-UHFFFAOYSA-N,CCN1CCC(CCNCc2cc3ccccc3nc2SC)CC1,SVSBIDILOVJTHE-UHFFFAOYSA-N,C20H29N3S,343.54,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-13
TXZGGVBUNOVBHL-UHFFFAOYSA-N,C=CCOc1nc2ccccc2cc1C(c1cc2ccccc2nc1OCC=C)C(O)(CCN(C)C)c1ccc(Br)cc1,TXZGGVBUNOVBHL-UHFFFAOYSA-N,C36H36BrN3O3,638.606,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3753673
UHMXBFQXPUTOKL-UHFFFAOYSA-N,CCN1CCC(CCNCc2cc(-c3ccc(C)cc3)cnc2SCc2ccccc2)CC1,UHMXBFQXPUTOKL-UHFFFAOYSA-N,C29H37N3S,459.703,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA300
UOLLIRMONGMMAV-UHFFFAOYSA-N,CSc1nc2ccccc2cc1CNCCc1ncc[nH]1,UOLLIRMONGMMAV-UHFFFAOYSA-N,C16H18N4S,298.415,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-21
UVOSDXRUYYKIMQ-UHFFFAOYSA-N,CN(C)C1=CC=C2C=CC=C(C=CC=C1)CSc1nc3ccccc3cc1CNC2,UVOSDXRUYYKIMQ-UHFFFAOYSA-N,C26H27N3S,413.59,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-12
UYSBYFPUEOTVDZ-UHFFFAOYSA-N,CSc1nc2ccccc2cc1CNCCc1cccn1C,UYSBYFPUEOTVDZ-UHFFFAOYSA-N,C18H21N3S,311.454,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-17
