assay_id,target,subunit_complex,organism,strain,assay_system,endpoint,assay_method,doi,source_url,pmc_url,source_locator,measurement_count,unique_compounds,training_measurements
asy_9335e51ddf7c,F1Fo-ATP synthase,Fo a/c interface (c-ring),Mycobacterium tuberculosis,unknown,,percent_inhibition,Inhibition of ATP synthase in Mycobacterium tuberculosis H37Rv whole cell lysate after 18 hrs at 10X,10.1016/j.ejmech.2019.111644,https://doi.org/10.1016/j.ejmech.2019.111644,,Source locator not independently verified; retained outside strict model-ready set,1,1,0
asy_d52baa9b8747,F1Fo-ATP synthase (Fo a/c interface),,Acinetobacter baumannii,,,MIC,broth microdilution (CLSI),10.1021/acsinfecdis.3c00317,https://doi.org/10.1021/acsinfecdis.3c00317,https://pmc.ncbi.nlm.nih.gov/articles/PMC10714390/,Source locator not independently verified; retained outside strict model-ready set,6,2,0
asy_42130e292bb2,30S ribosomal subunit (aminoglycoside control),,Acinetobacter baumannii,,,MIC,control antibiotic; broth microdilution (CLSI),10.1021/acsinfecdis.3c00317,https://doi.org/10.1021/acsinfecdis.3c00317,https://pmc.ncbi.nlm.nih.gov/articles/PMC10714390/,Source locator not independently verified; retained outside strict model-ready set,3,1,0
asy_832d84d73124,bacterial electron transport chain (ACMA assay),,Escherichia coli,,,ETC_inhibition,,10.1021/acsinfecdis.3c00317,https://doi.org/10.1021/acsinfecdis.3c00317,https://pmc.ncbi.nlm.nih.gov/articles/PMC10714390/,Main article Table 2; Supporting Information Figure S2,3,3,0
asy_77dc027f7ebd,F1Fo-ATP synthase (Fo a/c interface),,Escherichia coli ATCC 25922,,,MIC,broth microdilution (CLSI),10.1021/acsinfecdis.3c00317,https://doi.org/10.1021/acsinfecdis.3c00317,https://pmc.ncbi.nlm.nih.gov/articles/PMC10714390/,Source locator not independently verified; retained outside strict model-ready set,3,3,0
asy_b2f97bf829c7,bacterial electron transport chain (ACMA assay),,Pseudomonas aeruginosa,PAO1,,ETC_inhibition,,10.1021/acsinfecdis.3c00317,https://doi.org/10.1021/acsinfecdis.3c00317,https://pmc.ncbi.nlm.nih.gov/articles/PMC10714390/,Main article Table 2; Supporting Information Figure S2,3,3,0
asy_aa7b51602589,F1Fo-ATP synthase,Fo a/c interface (c-ring),Pseudomonas aeruginosa,ATP synthase expressed in E. coli DK8/pASH20,inverted inner-membrane vesicles,IC50_ATP_synthesis,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1021/acsinfecdis.3c00317,https://doi.org/10.1021/acsinfecdis.3c00317,https://pmc.ncbi.nlm.nih.gov/articles/PMC10714390/,Main article Table 1 and Figure 2; Supporting Information Table S2,6,3,4
asy_70e7c55c3cb9,F1Fo-ATP synthase (Fo a/c interface),,Pseudomonas aeruginosa,PAO1,,MIC,broth microdilution (CLSI),10.1021/acsinfecdis.3c00317,https://doi.org/10.1021/acsinfecdis.3c00317,https://pmc.ncbi.nlm.nih.gov/articles/PMC10714390/,Source locator not independently verified; retained outside strict model-ready set,6,3,0
asy_a2e53642f98c,30S ribosomal subunit (aminoglycoside control),,Pseudomonas aeruginosa,PAO1,,MIC,control antibiotic; broth microdilution (CLSI),10.1021/acsinfecdis.3c00317,https://doi.org/10.1021/acsinfecdis.3c00317,https://pmc.ncbi.nlm.nih.gov/articles/PMC10714390/,Source locator not independently verified; retained outside strict model-ready set,2,1,0
asy_0c16566c9948,electron transport chain,,Pseudomonas aeruginosa,,,ETC_inhibition,ACMA fluorescence quenching assay,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 1; Supporting Information Table S1,8,8,0
asy_55188c1cb354,F1Fo-ATP synthase,Fo a/c interface (c-ring),Pseudomonas aeruginosa,ATP synthase expressed in E. coli DK8/pASH20,inverted inner-membrane vesicles,IC50_ATP_synthesis,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Figure 2,38,19,38
asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,100,20,0
asy_6c2d0a1024e4,F1Fo-ATP synthase,Fo a/c interface (c-ring),Pseudomonas aeruginosa,ATP synthase expressed in E. coli DK8/pASH20,inverted inner-membrane vesicles,IC50_ATP_synthesis,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1021/acsomega.2c03127,https://doi.org/10.1021/acsomega.2c03127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9386795/,Main article Figure 2; Supporting Information Figure S2,12,6,12
asy_657243d3d7b6,F1Fo-ATP synthase (Fo a/c interface),,Pseudomonas aeruginosa,PAO1,,MIC,broth microdilution (CLSI),10.1021/acsomega.2c03127,https://doi.org/10.1021/acsomega.2c03127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9386795/,Main article Tables 1-2; Supporting Information Table S1,12,6,0
asy_af3d169563ac,F1Fo-ATP synthase (Fo a/c interface),,Staphylococcus aureus (MSSA),,,MIC,broth microdilution (CLSI),10.1021/acsomega.2c03127,https://doi.org/10.1021/acsomega.2c03127,https://pmc.ncbi.nlm.nih.gov/articles/PMC9386795/,Main article Tables 1-2; Supporting Information Table S1,6,6,0
asy_e0b3632b492e,F1Fo-ATP synthase,Fo a/c interface (c-ring),Acinetobacter baumannii,ATCC 17978,inverted inner-membrane vesicles,IC50_ATP_synthesis,Luciferase ATP-synthesis assay in inverted inner-membrane vesicles,10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Supporting Information Table S1; dose-response Figure S1,20,10,20
asy_09db5b390fa3,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,34,34,0
asy_e5f3cb9ffd5c,whole cell,,Acinetobacter baumannii,,,MIC,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,34,34,0
asy_4530e22b9bbd,whole cell (cytotoxicity),,Homo sapiens HEK 293,,,cell_viability,"XTT cell viability, 24 h",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1 (XTT),30,30,0
asy_87492d21baf2,F1Fo-ATP synthase,Fo c-ring (subunit c / AtpE),Mycolicibacterium smegmatis,unknown,,IC50_ATP_synthesis,"inverted membrane vesicles (IMV), ATP synthesis assay",10.1038/nchembio884,https://doi.org/10.1038/nchembio884,,Source locator not independently verified; retained outside strict model-ready set,1,1,0
asy_e23e4e046d30,F1Fo-ATP synthase,Fo a/c interface (mitochondrial),Homo sapiens,HEK293S GnTI-,,IC50_ATP_synthesis,"human mitoplasts, luciferase ATP synthesis assay",10.1038/s42003-020-01173-z,https://doi.org/10.1038/s42003-020-01173-z,,Source locator not independently verified; retained outside strict model-ready set,2,2,0
asy_8917b43c83a2,F1Fo-ATP synthase,Fo a/c interface (mitochondrial),Saccharomyces cerevisiae,unknown,,IC50_ATP_hydrolysis,"purified F1Fo reconstituted in bicelles, coupled-enzyme ATPase assay",10.1038/s42003-020-01173-z,https://doi.org/10.1038/s42003-020-01173-z,,Source locator not independently verified; retained outside strict model-ready set,2,2,0
asy_70d01562544a,F1Fo-ATP synthase,Fo a/c interface,Saccharomyces cerevisiae,unknown,,IC50_ATP_hydrolysis,"yeast submitochondrial particles (SMP), ATPase assay",10.1038/s42003-020-01173-z,https://doi.org/10.1038/s42003-020-01173-z,,Source locator not independently verified; retained outside strict model-ready set,1,1,0
asy_d3d1034d75c9,F1Fo-ATP synthase,Fo c-ring,Saccharomyces cerevisiae,unknown,,IC50_ATP_hydrolysis,"yeast SMP, ATPase assay",10.1038/s42003-020-01173-z,https://doi.org/10.1038/s42003-020-01173-z,,Source locator not independently verified; retained outside strict model-ready set,1,1,0
asy_3d338810ae4f,F1Fo-ATP synthase,Fo a/c interface,Saccharomyces cerevisiae,W303-1A,,IC50_ATP_synthesis,"isolated yeast mitochondria, luciferase ATP synthesis assay",10.1038/s42003-020-01173-z,https://doi.org/10.1038/s42003-020-01173-z,,Source locator not independently verified; retained outside strict model-ready set,2,2,0
asy_f43b1bda1e71,F1Fo-ATP synthase,Fo a/c interface (c-ring),Mycobacterium tuberculosis,unknown,,IC50_ATP_synthase,Inhibition of Mycobacterium tuberculosis ATP synthase,10.1039/C5MD00131E,https://doi.org/10.1039/C5MD00131E,,Source locator not independently verified; retained outside strict model-ready set,10,10,0
asy_9b4b592bfbf5,F1Fo-ATP synthase,Fo,Mycolicibacterium smegmatis,unknown,,IC50_ATP_synthase,IMV acidification (ACMA-type fluorescence) assay,10.1101/2023.08.08.552497,https://doi.org/10.1101/2023.08.08.552497,,Source locator not independently verified; retained outside strict model-ready set,1,1,0
