compound_id,compound_code,canonical_smiles,scaffold,historical_HTVS_score,docking_rank_utility,reference_similarity,parent_reference_similarity,reference_compound,reference_key,reference_doi,source_file,acquisition_rank,acquisition_score,stage_gate,is_experimental_recommendation,executed,reason
ATP-HTVS-AD7FBCC01633,85217,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)Cc1ccc(O)cc1)Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,-6.49299466235293,0.9963235294117647,0.36363636363636365,0.40540540540540543,compound 1 (Fraunfelter 2023),WIDVPHSBAXLSEU-LJQANCHMSA-N,10.1021/acsinfecdis.3c00317,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,1,0.7754344919786097,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-780990BE0E68,83747,C[C@@H]([NH2+]CC#Cc1cnc(NC(=O)c2cccc(O)c2)c2ccccc12)c1cccc(F)c1,O=C(Nc1ncc(C#CC[NH2+]Cc2ccccc2)c2ccccc12)c1ccccc1,-6.80803117503607,0.9993872549019608,0.2111111111111111,0.22093023255813954,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,17,0.7235825163398693,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-F8C49F655F6D,82083,CN(CC(=O)Nc1nc2ccccc2cc1Nc1ccc(NCCO)cc1)c1ccccc1,O=C(CNc1ccccc1)Nc1nc2ccccc2cc1Nc1ccccc1,-5.52359989451645,0.9264705882352942,0.3150684931506849,0.3150684931506849,compound 8 (Steed 2022),ROJPDORYZONAPF-UHFFFAOYSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,18,0.7235092667203868,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-D7583D638CF7,84707,C[NH2+]Cc1ccc(CNC(=O)c2[nH]c3ccccc3c2C#CCOc2ccc(F)cc2)cc1,O=C(NCc1ccccc1)c1[nH]c2ccccc2c1C#CCOc1ccccc1,-6.28779750813501,0.9920343137254902,0.21978021978021978,0.21348314606741572,compound 19 (Steed 2022),DHQKBEDPXLHXAJ-OAQYLSRUSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,19,0.7229402337858221,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-D1462A8BE621,82146,O=C(Nc1c(C#CC[NH2+]Cc2ccccc2)cnc2ccccc12)c1cc(F)cc(F)c1,O=C(Nc1c(C#CC[NH2+]Cc2ccccc2)cnc2ccccc12)c1ccccc1,-6.20349380011338,0.9877450980392157,0.2247191011235955,0.2619047619047619,compound 19 (Steed 2022),DHQKBEDPXLHXAJ-OAQYLSRUSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,20,0.7225242344128663,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-D806BF0778F9,63233,OCc1cc(C[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccc(F)cc2)ccc1F,c1ccc(C[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccccc2)cc1,-5.62999992545103,0.9375,0.2948717948717949,0.3835616438356164,WSA298,IZWVLJVCXHHUOO-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,21,0.7219551282051282,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-20B250E7AB9A,20673,C[C@](N)(C(=O)n1nc(-c2ccc(F)cc2F)cc1CC[NH2+]Cc1ccccc1)c1ccccc1,O=C(Cc1ccccc1)n1nc(-c2ccccc2)cc1CC[NH2+]Cc1ccccc1,-6.11096576140097,0.9816176470588235,0.2247191011235955,0.2823529411764706,WSA298,IZWVLJVCXHHUOO-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,22,0.7194605089226702,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-99483DBEAA78,20963,C[C@@](N)(C(=O)n1nc(-c2ccncc2)cc1CC[NH2+]Cc1ccccc1)c1ccccc1,O=C(Cc1ccccc1)n1nc(-c2ccncc2)cc1CC[NH2+]Cc1ccccc1,-6.3660091336744,0.9950980392156863,0.20481927710843373,0.26666666666666666,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,23,0.719235766595795,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-AD7FACE11FDD,91810,CNc1cccc(CNc2cc(C(=O)N(CC#N)c3ccccc3)c(F)nc2C)c1,O=C(Nc1ccccc1)c1cncc(NCc2ccccc2)c1,-6.12358752538851,0.9834558823529411,0.22093023255813954,0.22093023255813954,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,24,0.7190535225718194,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-65F4836C7042,84577,CN(Cc1sc2ccccc2c1C#C[C@@H]([NH3+])Cc1cccc(F)c1)C(=O)c1ccccc1O,O=C(NCc1sc2ccccc2c1C#CCCc1ccccc1)c1ccccc1,-6.71312251253104,0.9975490196078431,0.2,0.21505376344086022,compound 19 (Steed 2022),DHQKBEDPXLHXAJ-OAQYLSRUSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,25,0.7187745098039215,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-D65E1879A1C4,90530,C[NH+](C)Cc1ccc(Nc2ccsc2C(=O)N(CC[NH3+])c2ccccc2)cc1,O=C(Nc1ccccc1)c1sccc1Nc1ccccc1,-6.09719447125168,0.9797794117647058,0.2236842105263158,0.29411764705882354,compound 8 (Steed 2022),ROJPDORYZONAPF-UHFFFAOYSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,26,0.7181791795665634,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-4B144E96CFBE,75490,C[NH2+]Cc1ccc(CNc2cnc(NC(=O)Cc3ccccc3F)c3ccccc23)cc1,O=C(Cc1ccccc1)Nc1ncc(NCc2ccccc2)c2ccccc12,-6.09847068944256,0.9803921568627451,0.22077922077922077,0.22666666666666666,compound 8 (Steed 2022),ROJPDORYZONAPF-UHFFFAOYSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,27,0.7174688057040998,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-CB3D9B3FDDC1,36449,C[C@@H](NC(=O)NC[C@@H]1c2ccccc2C(=O)N1Cc1ccccc1)c1ccc(C[NH+](C)C)cc1,O=C(NCc1ccccc1)NCC1c2ccccc2C(=O)N1Cc1ccccc1,-6.14683554395361,0.9846813725490197,0.21428571428571427,0.22077922077922077,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,28,0.7173406862745099,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-CEDCE5F1BEB7,20034,C[NH+](C)Cc1ccc(C[NH2+]Cc2ccc(-c3ccc(O)cc3)nc2)cc1,c1ccc(C[NH2+]Cc2ccc(-c3ccccc3)nc2)cc1,-6.66143670294278,0.9969362745098039,0.19444444444444445,0.4,compound 1 (Fraunfelter 2023),WIDVPHSBAXLSEU-LJQANCHMSA-N,10.1021/acsinfecdis.3c00317,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,29,0.7165236928104576,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-B1D0FF1C8AAB,46850,CC(=O)NCc1ccc(C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccc(Cl)cc2)cc1,c1ccc(C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1,-5.60971624453893,0.9356617647058824,0.2804878048780488,0.3472222222222222,WSA298,IZWVLJVCXHHUOO-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,30,0.7160016140602583,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-2FDBF4F6464D,85218,[NH3+][C@@H](C#Cc1cnc2ccccc2c1NC(=O)Cc1ccc(O)cc1)Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1c(C#CCCc2ccccc2)cnc2ccccc12,-5.5539810490699,0.9283088235294118,0.2891566265060241,0.2926829268292683,compound 1 (Fraunfelter 2023),WIDVPHSBAXLSEU-LJQANCHMSA-N,10.1021/acsinfecdis.3c00317,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,31,0.7153592310418143,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-66618B00A972,44098,CC[N@@H+](C)Cc1cc(F)ccc1C[NH2+]Cc1csc(COc2ccc(OC)cc2)n1,c1ccc(C[NH2+]Cc2csc(COc3ccccc3)n2)cc1,-6.72891028700809,0.9987745098039216,0.18681318681318682,0.26744186046511625,WSA278,JWHCVPMRQDOIHA-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,32,0.7147718702865762,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-F08817EB9A7A,20546,CCCc1ccc(C[NH2+]Cc2ncc(-c3ccccc3O)cn2)cc1,c1ccc(C[NH2+]Cc2ncc(-c3ccccc3)cn2)cc1,-6.13430839064474,0.9840686274509804,0.2077922077922078,0.2835820895522388,WSA276,AVMFLQZOZFHZLB-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,33,0.714761586452763,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-B0A71AB87D72,74467,CN(C(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)c(Cl)s1)c1ccccc1O,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,-6.3559887442052,0.9944852941176471,0.1927710843373494,0.2361111111111111,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,34,0.7147125265768959,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-4CFD3E435A48,60227,CN(C)c1ccc(CC[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccncc2)cc1,c1ccc(CC[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccncc2)cc1,-5.64869376221623,0.9411764705882353,0.2682926829268293,0.37333333333333335,WSA276,AVMFLQZOZFHZLB-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,35,0.7144906743185079,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-41C13ED6AFFD,83554,COc1ccc(Cn2cc([C@H](C)[NH2+]Cc3ccc(C[NH+](C)C)cc3)nn2)cc1,c1ccc(C[NH2+]Cc2cn(Cc3ccccc3)nn2)cc1,-5.73485067766242,0.9552696078431373,0.24691358024691357,0.3116883116883117,WSA296,HCBCVTVDQQQYPH-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,36,0.7140545570079885,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-1449F4F4BA71,89058,Cc1ccc(C(=O)c2cnc3ccc(F)cc3c2N(CC[NH3+])Cc2ccc(F)cc2)cc1,O=C(c1ccccc1)c1cnc2ccccc2c1NCc1ccccc1,-6.21958526920677,0.9883578431372549,0.19480519480519481,0.20238095238095238,Ward2024 compound 1,DVUDEYVEBQKKMF-UHFFFAOYSA-N,10.1021/acsmedchemlett.3c00480,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,37,0.7123607397504457,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-6B0687E57A6A,39265,OCc1ccccc1CC[NH2+][C@@H](c1ccccc1)c1cc2ccccc2o1,c1ccc(CC[NH2+]C(c2ccccc2)c2cc3ccccc3o2)cc1,-6.08880138359782,0.9791666666666666,0.2028985507246377,0.2602739726027397,Ward2024 compound 19,PXXYITLVUSHXPN-UHFFFAOYSA-N,10.1021/acsmedchemlett.3c00480,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,38,0.7105978260869565,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
