record_id,source_row,anchor_compound,anchor_source,pubchem_cid,compound_name,SMILES,tanimoto_to_anchor,pubchem_bioassay_count,atp_synthase_activity,antibacterial_activity,link,notes,status,canonical_smiles,comparator,parsed_activity_bound,endpoint_stratum,issues,training_allowed,internal_evidence_allowed,source_hash
knowledge_b32c315cf3c02c6e48275912,12,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,68244665,"6-(4-methyl-4,5-dihydro-1,3-thiazol-2-yl)-N-piperidin-4-yl-1,2,3,8a-tetrahydroisoquinolin-8-amine",CC1CSC(=N1)C2=CC3=CCNCC3C(=C2)NC4CCNCC4,0.097,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/68244665,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,CC1CSC(C2=CC3=CCNCC3C(NC3CCNCC3)=C2)=N1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_ed1b93d1f90e684a5ae419fc,13,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,118074636,"N,N-dimethyl-7-methylidene-4a,9a,10,10a-tetrahydrophenothiazin-3-amine",CN(C)C1=CC2C(C=C1)NC3C=CC(=C)C=C3S2,0.096,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/118074636,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,C=C1C=CC2NC3C=CC(N(C)C)=CC3SC2=C1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_34f3e10d12f86a1d8e50cd45,14,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,59002657,"[7-(Dimethylamino)-5a,9a,10,10a-tetrahydrophenothiazin-3-ylidene]-dimethylazanium",CN(C)C1=CC2C(C=C1)NC3C=CC(=[N+](C)C)C=C3S2,0.093,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/59002657,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,CN(C)C1=CC2SC3=CC(=[N+](C)C)C=CC3NC2C=C1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_f94b0afdf4365ef07fe306b1,15,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,129238645,"[(1E)-2-methyl-3-(methylamino)buta-1,3-dienyl] 2-[butyl-(2-ethyl-1,2-dihydropyridin-6-yl)amino]ethanimidothioate",CCCCN(CC(=N)S/C=C(\C)/C(=C)NC)C1=CC=CC(N1)CC,0.091,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/129238645,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,C=C(NC)/C(C)=C/SC(=N)CN(CCCC)C1=CC=CC(CC)N1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_f51c0eb73cbc6a3ae362ca9c,16,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,134390188,"1-[3-[fluoro-(4-methylcyclohexa-1,5-dien-1-yl)methyl]-2H-pyrrol-5-yl]-N-(thiolan-3-ylmethyl)ethenamine",CC1CC=C(C=C1)C(C2=CC(=NC2)C(=C)NCC3CCSC3)F,0.09,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/134390188,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,C=C(NCC1CCSC1)C1=NCC(C(F)C2=CCC(C)C=C2)=C1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_d5077857ea9a6ff6a97b7e4c,17,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,145054869,"1,1,1-Trifluoro-4-[4-(4-hexyl-2,3-dihydrothiophen-5-yl)-1,2-dihydropyridin-6-yl]-4-iminobut-2-en-2-amine",CCCCCCC1=C(SCC1)C2=CCNC(=C2)C(=N)C=C(C(F)(F)F)N,0.09,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/145054869,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,CCCCCCC1=C(C2=CCNC(C(=N)C=C(N)C(F)(F)F)=C2)SCC1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_faba8ff2b6fe504b3a38d4c7,18,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,123728684,"N-methyl-4-thiomorpholin-4-ylcyclohexa-2,4-dien-1-amine",CNC1CC=C(C=C1)N2CCSCC2,0.09,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/123728684,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,CNC1C=CC(N2CCSCC2)=CC1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_506dd1dc90c7f0d51150b234,19,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,89205069,"7-(2,5-Dimethyl-1,2-dihydropyridin-6-yl)-3-(5-methyl-1,2-dihydropyridin-6-yl)-5-methylidene-6,7-dihydro-1,4,2,6-dithiadiazepine",CC1C=CC(=C(N1)C2NC(=C)SC(=NS2)C3=C(C=CCN3)C)C,0.086,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/89205069,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,C=C1NC(C2=C(C)C=CC(C)N2)SN=C(C2=C(C)C=CCN2)S1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_ee2a9467d722e672b9b51a5b,20,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,124002870,2-(1-methyl-2H-pyridin-4-yl)ethyl propanimidothioate,CCC(=N)SCCC1=CCN(C=C1)C,0.086,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/124002870,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,CCC(=N)SCCC1=CCN(C)C=C1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_6e1d4a7ba7abd43d4b255444,21,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,129238752,"(8E)-3-[[4-methyl-5-[(Z)-prop-1-enyl]-2H-pyridin-1-yl]methyl]-N,2-bis(propa-1,2-dienyl)-8-propylidene-5-thia-1-azabicyclo[4.2.0]oct-2-en-7-amine",CC/C=C/1\C(C2N1C(=C(CS2)CN3CC=C(C(=C3)/C=C\C)C)C=C=C)NC=C=C,0.084,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/129238752,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,C=C=CNC1/C(=C\CC)N2C(C=C=C)=C(CN3C=C(/C=C\C)C(C)=CC3)CSC12,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_77073119cba3451e34f07e3a,22,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,20519179,"9-oxido-N-propyl-5,12-dithia-3-aza-9-azoniatetracyclo[7.7.1.02,6.013,17]heptadeca-1,3,6,13(17),14-pentaen-15-amine",CCCNC1=CC2=C3C(=C4C(=CC[N+]3(CCS2)[O-])SC=N4)C1,0.082,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/20519179,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,CCCNC1=CC2=C3C(=c4ncsc4=CC[N+]3([O-])CCS2)C1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_9d2f7d06aca51ba9e0f690e6,23,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,143683757,"(3E)-N-[(3-tert-butyl-1-fluoro-1-methyl-2H-thiopyran-5-yl)methyl]-3-methylpenta-1,3-dien-2-amine",C/C=C(\C)/C(=C)NCC1=CS(CC(=C1)C(C)(C)C)(C)F,0.08,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/143683757,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,C=C(NCC1=CS(C)(F)CC(C(C)(C)C)=C1)/C(C)=C/C,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_8a3b6d35b1999b1c0e2027df,24,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,20519182,"N-butyl-9-oxido-5,12-dithia-3-aza-9-azoniatetracyclo[7.7.1.02,6.013,17]heptadeca-1,3,6,13(17),14-pentaen-15-amine",CCCCNC1=CC2=C3C(=C4C(=CC[N+]3(CCS2)[O-])SC=N4)C1,0.08,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/20519182,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,CCCCNC1=CC2=C3C(=c4ncsc4=CC[N+]3([O-])CCS2)C1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_4e514dd57f4076cc4f4c02b4,25,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,59986413,"N,2-dimethyl-3a,7a-dihydro-1,3-benzothiazol-5-amine",CC1=NC2C=C(C=CC2S1)NC,0.078,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/59986413,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,CNC1=CC2N=C(C)SC2C=C1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_59921afb924407791aa80047,26,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,88757708,"N-[2-(3aH-[1,3]thiazolo[5,4-c]isoquinolin-4-yl)ethyl]butan-1-amine",CCCCNCCN1C=C2C=CC=CC2=C3C1SC=N3,0.078,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/88757708,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,CCCCNCCN1C=c2ccccc2=C2N=CSC21,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_f87b9bf41f84a745cf097c5c,27,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,89129886,"(2E,3E)-3-(2-methylpropylidene)-2-prop-2-enylidenethiomorpholine",CC(C)/C=C/1\C(=C/C=C)\SCCN1,0.077,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/89129886,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,C=C/C=C1/SCCN/C1=C/C(C)C,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_1f64ad2013a2e82bf8843ddd,28,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,91264110,"N,2-dimethyl-3a,6-dihydro-1,3-benzothiazol-5-amine",CC1=NC2C=C(CC=C2S1)NC,0.077,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/91264110,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,CNC1=CC2N=C(C)SC2=CC1,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_bc29d3cca489eb11434083d7,29,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,88266701,(1E)-1-[(2E)-2-prop-2-enylidenethiomorpholin-3-ylidene]propan-2-amine,CC(/C=C/1\C(=C/C=C)\SCCN1)N,0.075,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/88266701,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,C=C/C=C1/SCCN/C1=C/C(C)N,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
knowledge_2750c02b03b7686b3a2ccbb3,30,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,134856045,"(5Z)-2-cyclohexa-2,5-dien-1-ylidene-1-(2-ethylsulfanylethyl)-5-(ethylsulfanylmethylidene)pyrrole",CCSCCN1/C(=C\SCC)/C=CC1=C2C=CCC=C2,0.069,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/134856045,仅相似性检索命中；生物活性未核实,unverified_retrieval_pool,CCS/C=c1/ccc(=C2C=CCC=C2)n1CCSCC,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""unknown"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""similarity_or_NCI60_results_are_not_ATP_or_antibacterial_activity_labels""]",False,False,52bca2db903714f189244ded3af4238cca80f1bffde0d4029b0a16a428aa51ba
