record_id,source_row,pdb_id,title,method,resolution_A,organism,ligand_or_inhibitor,pdb_ligand_codes,binding_subunit_site,reference,journal,doi,year,link,notes,status,canonical_smiles,comparator,parsed_activity_bound,endpoint_stratum,issues,training_allowed,internal_evidence_allowed,source_hash
knowledge_62bacb7edfc34332170c131a,12,7JG9,Cryo-EM structure of bedaquiline-saturated mycobacterium smegmatis ATP synthase rotational state 2 (backbone model),ELECTRON MICROSCOPY,3.4,Mycolicibacterium smegmatis,bedaquiline (saturated),none,同上,Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JG9,BDQ饱和态 state 2,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Mycolicibacterium smegmatis"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_c38babfe5b3e6dc7cfa8420e,13,7JGA,Cryo-EM structure of bedaquiline-saturated Mycobacterium smegmatis ATP synthase rotational state 3,ELECTRON MICROSCOPY,3.2,Mycolicibacterium smegmatis,bedaquiline (saturated),"ADP,ATP,MG",同上,Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JGA,BDQ饱和态 state 3,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Mycolicibacterium smegmatis"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_fbaacfd82c1663a5a0086775,14,7JGB,Cryo-EM structure of bedaquiline-free Mycobacterium smegmatis ATP synthase FO region,ELECTRON MICROSCOPY,3.5,Mycolicibacterium smegmatis,none (BDQ-free Fo),none,Fo region,Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JGB,apo对照,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Mycolicibacterium smegmatis"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_0218ba04fbab39d9c27233a2,15,7JGC,Cryo-EM structure of bedaquiline-saturated Mycobacterium smegmatis ATP synthase FO region,ELECTRON MICROSCOPY,3.4,Mycolicibacterium smegmatis,bedaquiline (saturated),none,Fo a/c interface,Structure of mycobacterial ATP synthase bound to the tuberculosis drug bedaquiline,Nature,10.1038/s41586-020-3004-3,2021,https://www.rcsb.org/structure/7JGC,BDQ饱和态 Fo,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Mycolicibacterium smegmatis"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_ef15db840c078ddeaca534b5,16,6WTD,Monomer yeast ATP synthase Fo reconstituted in nanodisc with inhibitor of Bedaquiline bound,ELECTRON MICROSCOPY,4.2,Saccharomyces cerevisiae,bedaquiline,none,Fo a/c interface; cGlu59/cPhe64 (酵母),Bedaquiline inhibits the yeast and human mitochondrial ATP synthases,Commun Biol,10.1038/s42003-020-01173-z,2020,https://www.rcsb.org/structure/6WTD,EMDB-21894; 同源F1Fo见EMDB-21895,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Saccharomyces cerevisiae"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_4166556e46a7107561e70585,17,8J57,Cryo-EM structure of Mycobacterium tuberculosis ATP synthase Fo in complex with bedaquiline(BDQ),ELECTRON MICROSCOPY,2.85,Mycobacterium tuberculosis,bedaquiline,none,Fo a/c interface,Inhibition of M. tuberculosis and human ATP synthase by BDQ and TBAJ-587,Nature,10.1038/s41586-024-07605-8,2024,https://www.rcsb.org/structure/8J57,M. tuberculosis Fo,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Mycobacterium tuberculosis"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_ef90af052fdde7e846e89c36,18,8J0S,Cryo-EM structure of Mycobacterium tuberculosis ATP synthase in complex with bedaquiline(BDQ),ELECTRON MICROSCOPY,2.58,Mycobacterium tuberculosis,bedaquiline,"ADP,ATP,MG",Fo a/c interface,Inhibition of M. tuberculosis and human ATP synthase by BDQ and TBAJ-587,Nature,10.1038/s41586-024-07605-8,2024,https://www.rcsb.org/structure/8J0S,M. tuberculosis 全酶,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Mycobacterium tuberculosis"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_0343453fc126038980738db5,19,8KHF,Structure of the human ATP synthase bound to bedaquiline (membrane domain),ELECTRON MICROSCOPY,3.13,Homo sapiens,bedaquiline,none,Fo a/c interface (线粒体),Inhibition of M. tuberculosis and human ATP synthase by BDQ and TBAJ-587,Nature,10.1038/s41586-024-07605-8,2024,https://www.rcsb.org/structure/8KHF,人源膜区,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Homo sapiens"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_4d130a528d654759e95729fd,20,8KI3,Structure of the human ATP synthase bound to bedaquiline (composite),ELECTRON MICROSCOPY,2.89,Homo sapiens,bedaquiline,"ADP,ATP,MG",Fo a/c interface (线粒体),Inhibition of M. tuberculosis and human ATP synthase by BDQ and TBAJ-587,Nature,10.1038/s41586-024-07605-8,2024,https://www.rcsb.org/structure/8KI3,人源复合结构,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Homo sapiens"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_198caef82c833af33727a970,21,7NJV,Mycobacterium smegmatis ATP synthase Fo combined class 2,ELECTRON MICROSCOPY,2.9,Mycolicibacterium smegmatis MC2 155,none,none,Fo region,Structure of the ATP synthase from Mycobacterium smegmatis provides targets for treating tuberculosis,Proc.Natl.Acad.Sci.USA,10.1073/pnas.2111899118,2021,https://www.rcsb.org/structure/7NJV,M. smegmatis Fo 中间态,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Mycolicibacterium smegmatis MC2 155"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_15121b877ae503caec711f3b,22,4F4S,Structure of the yeast F1Fo ATPase c10 ring with bound oligomycin,X-RAY DIFFRACTION,1.9,Saccharomyces cerevisiae,oligomycin,none,c10 ring 质子结合位点 (cGlu59),Oligomycin frames a common drug-binding site in the ATP synthase,Proc.Natl.Acad.Sci.USA,10.1073/pnas.1207912109,2012,https://www.rcsb.org/structure/4F4S,X-ray 1.9Å,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Saccharomyces cerevisiae"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_7d4b020e851bb0e973c5fca2,23,6CP5,Monomer yeast ATP synthase Fo reconstituted in nanodisc with inhibitor of oligomycin bound generated from focused refinement.,ELECTRON MICROSCOPY,4.2,Saccharomyces cerevisiae S288C,oligomycin,none,Fo c-ring (nanodisc),High-resolution cryo-EM analysis of the yeast ATP synthase in a lipid membrane,Science,10.1126/science.aas9699,2018,https://www.rcsb.org/structure/6CP5,寡霉素结合态,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Saccharomyces cerevisiae S288C"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_ead95a9b18b1049e52e4145b,24,6CP7,Monomer yeast ATP synthase Fo reconstituted in nanodisc generated from masked refinement.,ELECTRON MICROSCOPY,4.1,Saccharomyces cerevisiae S288C,none (apo),none,Fo (nanodisc),High-resolution cryo-EM analysis of the yeast ATP synthase in a lipid membrane,Science,10.1126/science.aas9699,2018,https://www.rcsb.org/structure/6CP7,apo参考(6WTD的对照),structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Saccharomyces cerevisiae S288C"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_67d62fc2dbe4c06de37604c3,25,1EFR,BOVINE MITOCHONDRIAL F1-ATPASE COMPLEXED WITH THE PEPTIDE ANTIBIOTIC EFRAPEPTIN,X-RAY DIFFRACTION,3.1,Bos taurus,efrapeptin,"ADP,ANP,MG",F1 α/β 催化区 (γ轴界面),The Structure of Bovine F1-ATPase Complexed with the Peptide Antibiotic Efrapeptin,Proc.Natl.Acad.Sci.USA,10.1073/PNAS.93.18.9420,1996,https://www.rcsb.org/structure/1EFR,肽类抑制剂,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Bos taurus"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_fa64ccd950f47e41e0a769ec,26,1COW,BOVINE MITOCHONDRIAL F1-ATPASE COMPLEXED WITH AUROVERTIN B,X-RAY DIFFRACTION,3.1,Bos taurus,aurovertin B,"ADP,ANP,MG",F1 β亚基催化位点,The structure of bovine F1-ATPase complexed with the antibiotic inhibitor aurovertin B,Proc.Natl.Acad.Sci.USA,10.1073/pnas.93.14.6913,1996,https://www.rcsb.org/structure/1COW,unknown,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Bos taurus"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_c29868cf646174326c5de239,27,2JIZ,The Structure of F1-ATPase inhibited by resveratrol.,X-RAY DIFFRACTION,2.3,Bos taurus,resveratrol,"ADP,ANP,MG",F1 (α3β3-γ界面),Mechanism of Inhibition of Bovine F1-ATPase by Resveratrol and Related Polyphenols,Proc.Natl.Acad.Sci.USA,10.1073/PNAS.0706290104,2007,https://www.rcsb.org/structure/2JIZ,芪类抑制剂,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Bos taurus"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_29cc3ffddb742ab5f7828a25,28,3U2F,ATP synthase c10 ring in proton-unlocked conformation at PH 8.3,X-RAY DIFFRACTION,2.0,Saccharomyces cerevisiae,none (apo c-ring),none,c10 ring; cGlu59 (DCCD修饰位点),Structure of the c(10) ring of the yeast mitochondrial ATP synthase in the open conformation,Nat.Struct.Mol.Biol.,10.1038/nsmb.2284,2012,https://www.rcsb.org/structure/3U2F,质子解锁构象 pH8.3,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Saccharomyces cerevisiae"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}",[],False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
knowledge_ea3398c63579ebe9ba0f66bd,29,7MD3,The F1 region of apoptolidin-bound Saccharomyces cerevisiae ATP synthase,ELECTRON MICROSCOPY,3.3,Saccharomyces cerevisiae,apoptolidin,"ATP,MG",F1 region,A Family of Glycosylated Macrolides Selectively Target Energetic Vulnerabilities in Leukemia,Biorxiv,10.1101/2021.05.31.445492,2021,https://www.rcsb.org/structure/7MD3,F1区结合,structure_reference_review_pending,unknown,unknown,,"{""activity_type"": ""unknown"", ""assay_method"": ""unknown"", ""organism"": ""Saccharomyces cerevisiae"", ""strain"": ""unknown"", ""target"": ""unknown"", ""unit"": ""unknown""}","[""apo_vs_bound_nucleotide_description_requires_review""]",False,False,d74f2b1a9da12fc157f2a64789a52876de59828dc30defee70a3f2a1300f61f8
